,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
0,0,TrialState.COMPLETE,0.7686075806430026,2020-01-01 11:34:53.100614,2020-01-01 11:35:47.853166,0.8131291923104178,1,0.4380657909934865,0.09935444990037492,1.5611635358725608,66,190,94,0
1,1,TrialState.COMPLETE,0.7333193844015554,2020-01-01 11:35:47.862779,2020-01-01 11:36:34.699144,0.45636138712116714,5,0.6950276992273277,4.82086831820037,0.5711803272210987,65,107,54,1
2,2,TrialState.COMPLETE,0.7503502768020545,2020-01-01 11:36:34.703267,2020-01-01 11:37:22.237614,0.781248849645711,4,0.5296570908927692,4.640192431467012e-05,2.014421002004848,76,123,15,2
3,3,TrialState.COMPLETE,0.7996991594384694,2020-01-01 11:37:22.241652,2020-01-01 11:38:11.113296,0.9892012615401722,6,0.63344506107442,7.8193103568236495,5.334606164391407e-08,32,26,91,3
4,4,TrialState.COMPLETE,0.774496474425246,2020-01-01 11:38:11.116966,2020-01-01 11:39:00.366883,0.7382439351036613,7,0.9535679565597707,3.825333491500681e-06,2.9489065956490654e-05,48,137,49,4
5,5,TrialState.COMPLETE,0.7466049390883678,2020-01-01 11:39:00.370517,2020-01-01 11:39:47.814687,0.5838531788231327,3,0.9920321057971176,0.0002579333365677884,0.0012685737072068307,62,23,16,5
6,6,TrialState.COMPLETE,0.8110176600625136,2020-01-01 11:39:47.818793,2020-01-01 11:41:06.478359,0.7308910340327454,5,0.47693848525506793,1.042287817169631e-08,2.2463628914405118e-07,12,246,19,6
7,7,TrialState.COMPLETE,0.73179944233199,2020-01-01 11:41:06.486120,2020-01-01 11:41:52.865816,0.48222067122951284,5,0.40168293345075373,3.3808425944633865e-05,5.478431923968963,84,19,42,7
8,8,TrialState.COMPLETE,0.739185240173688,2020-01-01 11:41:52.869732,2020-01-01 11:42:40.082948,0.45643487706127683,7,0.47500046590949074,5.131059000472814e-07,4.561718314993221e-05,53,195,3,8
9,9,TrialState.COMPLETE,0.7343116774486,2020-01-01 11:42:40.091667,2020-01-01 11:43:27.356545,0.5992281420006732,3,0.4506265490810974,7.849299395267425e-08,7.843736816285114,75,63,95,9
