iter	F1	Logloss
0	0.7533632287	0.6809837103
1	0.7566351777	0.6698852226
2	0.7544419134	0.6591935688
3	0.7541679297	0.6494097331
4	0.7571449948	0.640430923
5	0.7547916033	0.6324782065
6	0.7555082814	0.6253276492
7	0.7540384029	0.6183320604
8	0.7543378995	0.6112866549
9	0.7531240475	0.6052817172
10	0.7539187338	0.5993823138
11	0.7539828431	0.593664513
12	0.7536365028	0.588020827
13	0.7537519142	0.5825818442
14	0.7505813052	0.5778126603
15	0.7538273117	0.5733691222
16	0.753902663	0.5693739256
17	0.7541334966	0.5653579921
18	0.7540180621	0.5614628899
19	0.7536719706	0.558033331
20	0.7536719706	0.554605335
21	0.7540180621	0.5515494607
22	0.7506586084	0.5486508704
23	0.7542087542	0.5459816691
24	0.7543993879	0.543282855
25	0.7543242002	0.5407312794
26	0.7543726236	0.538811132
27	0.7542231015	0.5366301586
28	0.7541482722	0.5348278105
29	0.7539828431	0.5329025077
30	0.7544800123	0.5307977772
31	0.7542892157	0.5292298128
32	0.7544800123	0.5277185546
33	0.7547863379	0.5260902399
34	0.7544800123	0.5244997989
35	0.7544800123	0.5231277797
36	0.7542489665	0.5217922104
37	0.7541334966	0.5206348997
38	0.7541334966	0.5195581207
39	0.7541334966	0.5183147131
40	0.7507358637	0.5174946208
41	0.7508521847	0.5165956138
42	0.7512391574	0.5155438201
43	0.7512768921	0.5143999133
44	0.7510835913	0.51357219
45	0.7514701331	0.5127824246
46	0.7514701331	0.5119292423
47	0.7514701331	0.5112714927
48	0.7512768921	0.5103963011
49	0.7511606314	0.5096895466
50	0.7507739938	0.5089882575
51	0.7509673425	0.5083873576
52	0.7509673425	0.5076574124
53	0.7509673425	0.5070593151
54	0.7511606314	0.506586491
55	0.7512376238	0.5060139514
56	0.7513538604	0.5056204004
57	0.7513538604	0.5051809947
58	0.7516238788	0.5046846665
59	0.7516238788	0.5042852982
60	0.7515470297	0.5038225184
61	0.7518564356	0.5033900615
62	0.7519727681	0.5029540896
63	0.7519727681	0.5025919074
64	0.7518959913	0.5022414771
65	0.7517027864	0.5018773242
66	0.7518959913	0.5015052637
67	0.7518959913	0.5012491954
68	0.7518959913	0.5009718588
69	0.7518959913	0.5007965213
70	0.7517027864	0.5005046424
71	0.7515864417	0.5002486689
72	0.7514701331	0.4999094161
73	0.7512768921	0.4996587897
74	0.7514701331	0.4994923302
75	0.7514701331	0.4992120741
76	0.7514701331	0.4990326698
77	0.7512768921	0.4988389302
78	0.7514701331	0.4985112658
79	0.7514701331	0.4983193287
80	0.7514701331	0.498022984
81	0.7514701331	0.4977833544
82	0.7514701331	0.4976294021
83	0.7514701331	0.4974799856
84	0.7514701331	0.497333706
85	0.7512768921	0.497103859
86	0.7514701331	0.4969507696
87	0.7514701331	0.4967778237
88	0.7515470297	0.4966419062
89	0.7514701331	0.496504463
90	0.7512768921	0.4963229838
91	0.7511606314	0.4961727881
92	0.7510835913	0.4960648281
93	0.7510835913	0.4959335562
94	0.7510835913	0.4958311079
95	0.7512768921	0.4956940401
96	0.7510835913	0.4955513015
97	0.7512768921	0.4954012229
98	0.7513538604	0.4952837361
99	0.7514701331	0.4951562586
100	0.7515470297	0.4950716975
101	0.7515470297	0.494941586
102	0.7515470297	0.4948358974
103	0.7515470297	0.4947635785
104	0.7515470297	0.4946753864
105	0.7515470297	0.4945960382
106	0.7515470297	0.4945083858
107	0.7515470297	0.494422667
108	0.7515470297	0.4943335477
109	0.7517401392	0.4941892331
110	0.7514307811	0.4941378899
111	0.7514307811	0.4940634859
112	0.7514307811	0.4940189758
113	0.7514307811	0.4939302381
114	0.7514307811	0.4938412956
115	0.7514307811	0.493765478
116	0.7515470297	0.4936651835
