iter	Passed	Remaining
0	5	4998
1	8	4326
2	12	4085
3	16	4003
4	20	4032
5	23	3973
6	27	3919
7	31	3896
8	35	3859
9	38	3827
10	44	3974
11	47	3941
12	52	3963
13	55	3937
14	59	3907
15	63	3901
16	67	3884
17	71	3880
18	74	3863
19	79	3872
20	82	3858
21	86	3850
22	90	3862
23	95	3870
24	98	3854
25	102	3854
26	106	3826
27	110	3850
28	116	3895
29	128	4146
30	145	4554
31	151	4585
32	155	4561
33	159	4525
34	163	4502
35	166	4471
36	170	4440
37	174	4415
38	178	4391
39	182	4368
40	185	4336
41	189	4319
42	193	4299
43	197	4283
44	201	4268
45	205	4254
46	208	4234
47	212	4219
48	216	4205
49	220	4190
50	224	4173
51	228	4160
52	231	4144
53	236	4150
54	241	4145
55	245	4138
56	250	4144
57	255	4143
58	259	4140
59	263	4132
60	267	4119
61	271	4107
62	275	4103
63	279	4089
64	283	4082
65	287	4072
66	291	4059
67	295	4047
68	299	4037
69	302	4016
70	306	4004
71	310	3997
72	314	3987
73	317	3977
74	321	3963
75	325	3953
76	328	3942
77	333	3944
78	338	3947
79	343	3949
80	347	3941
81	351	3940
82	355	3930
83	359	3923
84	363	3915
85	367	3905
86	372	3906
87	376	3897
88	380	3890
89	383	3880
90	387	3872
91	391	3862
92	395	3854
93	398	3844
94	402	3835
95	406	3825
96	410	3817
97	414	3816
98	418	3810
99	422	3799
100	426	3793
101	432	3803
102	436	3801
103	440	3794
104	445	3797
105	449	3790
106	453	3783
107	457	3780
108	461	3773
109	465	3767
110	469	3760
111	473	3753
112	477	3749
113	481	3744
114	485	3737
115	489	3731
116	493	3722
117	497	3718
118	501	3712
119	505	3707
120	509	3700
121	513	3698
122	517	3691
123	521	3681
124	525	3677
125	529	3671
126	533	3667
127	537	3660
128	540	3648
129	544	3645
130	548	3639
131	552	3635
132	557	3634
133	561	3627
134	566	3629
135	570	3622
136	574	3618
137	578	3611
138	582	3606
139	586	3600
140	590	3595
141	593	3587
142	597	3582
143	601	3578
144	606	3573
145	609	3566
146	614	3563
147	617	3557
148	622	3556
149	626	3552
150	631	3549
151	635	3543
152	638	3537
153	642	3531
154	646	3526
155	650	3520
156	654	3513
157	658	3507
158	662	3501
159	665	3496
160	669	3490
161	673	3485
162	677	3481
163	682	3476
164	686	3471
165	689	3466
166	693	3460
167	697	3455
168	701	3448
169	705	3443
170	709	3438
171	713	3434
172	717	3430
173	721	3426
174	725	3421
175	729	3417
176	733	3412
177	739	3414
178	746	3422
179	752	3428
180	758	3433
181	762	3427
182	767	3427
183	773	3432
184	777	3426
185	781	3420
186	785	3416
187	790	3415
188	794	3411
189	799	3407
190	803	3401
191	807	3397
192	811	3393
193	816	3393
194	820	3387
195	825	3386
196	829	3382
197	833	3377
198	837	3372
199	841	3366
200	845	3362
201	849	3356
202	854	3354
203	858	3349
204	862	3346
205	866	3341
206	870	3335
207	877	3339
208	882	3340
209	889	3344
210	894	3346
211	901	3351
212	907	3353
213	915	3363
214	923	3371
215	934	3390
216	941	3397
217	948	3402
218	954	3404
219	961	3408
220	969	3418
221	976	3420
222	982	3422
223	989	3427
224	995	3430
225	1004	3441
226	1011	3444
227	1019	3450
228	1025	3454
229	1031	3454
230	1041	3467
231	1048	3469
232	1054	3470
233	1060	3471
234	1068	3478
235	1074	3479
236	1084	3491
237	1098	3516
238	1124	3579
239	1131	3582
240	1139	3588
241	1145	3586
242	1149	3580
243	1153	3573
244	1157	3567
245	1161	3559
246	1165	3552
247	1169	3545
248	1173	3538
249	1176	3530
250	1180	3523
251	1184	3516
252	1188	3509
253	1192	3503
