,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,system_attrs
,,,,,,C,class_weight,dual,intercept_scaling,l1_ratio,multi_class,penalty,random_state,solver,warm_start,_number
0,0,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:12.461965,2020-01-04 20:29:12.677081,,,,,,ovr,none,19,,True,0
1,1,TrialState.COMPLETE,0.8509396050211537,2020-01-04 20:29:12.677683,2020-01-04 20:29:12.857395,0.27684681264171057,balanced,,,0.9486467173260109,auto,elasticnet,89,,True,1
2,2,TrialState.COMPLETE,0.4524863674992835,2020-01-04 20:29:12.857918,2020-01-04 20:29:12.985198,2.601308285048592e-06,,False,0.6614227574177252,,ovr,l2,19,liblinear,True,2
3,3,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:12.985782,2020-01-04 20:29:13.178961,,,,,,ovr,none,65,,True,3
4,4,TrialState.COMPLETE,0.8566179523874131,2020-01-04 20:29:13.179526,2020-01-04 20:29:13.336750,0.3942525734784517,,,,,auto,l2,36,saga,True,4
5,5,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:13.337380,2020-01-04 20:29:13.463227,0.00017962241805089012,balanced,,0.8012658549447961,,auto,l1,77,liblinear,False,5
6,6,TrialState.COMPLETE,0.8492774245645773,2020-01-04 20:29:13.463864,2020-01-04 20:29:13.624343,0.5951155627824923,balanced,,0.5796132487241488,,auto,l1,81,liblinear,True,6
7,7,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:13.624977,2020-01-04 20:29:13.823240,,,,,,auto,none,87,,True,7
8,8,TrialState.COMPLETE,0.8496602085827416,2020-01-04 20:29:13.823873,2020-01-04 20:29:14.035362,,balanced,,,,ovr,none,96,,True,8
9,9,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:14.035945,2020-01-04 20:29:14.201160,6.670143489447005e-06,,,,,ovr,l2,55,saga,True,9
10,10,TrialState.COMPLETE,0.8605781619097878,2020-01-04 20:29:14.201755,2020-01-04 20:29:14.369223,0.005634777953517733,,,,,auto,l2,36,saga,False,10
11,11,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:14.369864,2020-01-04 20:29:14.536802,8.116601312710285e-06,,,,,auto,l2,35,saga,False,11
12,12,TrialState.COMPLETE,0.8039305785579243,2020-01-04 20:29:14.537414,2020-01-04 20:29:14.693636,0.5854420190936153,,False,0.013407109105496251,,auto,l2,44,liblinear,False,12
13,13,TrialState.COMPLETE,0.8563307372684454,2020-01-04 20:29:14.694265,2020-01-04 20:29:14.860657,0.7250967543154767,,,,,auto,l2,2,saga,False,13
14,14,TrialState.COMPLETE,0.323877374186457,2020-01-04 20:29:14.861292,2020-01-04 20:29:15.023767,2.391427187614385e-08,,True,0.5763760968744432,,auto,l2,30,liblinear,False,14
15,15,TrialState.COMPLETE,0.8549891763503752,2020-01-04 20:29:15.024350,2020-01-04 20:29:15.199766,0.007450045029498996,,,,0.8399956080651677,auto,elasticnet,4,,False,15
16,16,TrialState.COMPLETE,0.8602449173773387,2020-01-04 20:29:15.200344,2020-01-04 20:29:15.373542,0.008272994880266251,,,,,auto,l2,54,saga,False,16
17,17,TrialState.COMPLETE,0.8609768498889607,2020-01-04 20:29:15.374176,2020-01-04 20:29:15.552738,0.00512948560774169,,,,,auto,l2,59,saga,False,17
18,18,TrialState.COMPLETE,0.8523208594190432,2020-01-04 20:29:15.553368,2020-01-04 20:29:15.726111,0.0106878660640546,,,,,auto,l1,67,saga,False,18
19,19,TrialState.COMPLETE,0.8541314627635751,2020-01-04 20:29:15.726761,2020-01-04 20:29:15.912235,0.0005509383465062635,,,,0.035188338442520006,auto,elasticnet,64,,False,19
20,20,TrialState.COMPLETE,0.8338714729677662,2020-01-04 20:29:15.912821,2020-01-04 20:29:16.094724,0.00033687574898962763,,,,,auto,l2,45,saga,False,20
