,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,system_attrs
,,,,,,C,class_weight,dual,intercept_scaling,l1_ratio,multi_class,penalty,random_state,solver,warm_start,_number
0,0,TrialState.COMPLETE,0.8175839926348679,2020-01-02 00:23:35.660942,2020-01-02 00:23:36.129870,0.057786521491766885,,,,,ovr,l1,44,saga,True,0
1,1,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:36.131481,2020-01-02 00:23:36.404057,,,,,,auto,none,12,,False,1
2,2,TrialState.COMPLETE,0.8146167461549234,2020-01-02 00:23:36.405351,2020-01-02 00:23:36.716759,0.21062207245906495,,,0.15340631903133173,,ovr,l1,78,liblinear,True,2
3,3,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:36.718133,2020-01-02 00:23:36.958215,4.1874227271385696e-07,,,0.1728013581171206,,ovr,l1,11,liblinear,False,3
4,4,TrialState.COMPLETE,0.8123299397116256,2020-01-02 00:23:36.959341,2020-01-02 00:23:37.255936,0.021666986298395405,balanced,,0.8988514660530486,,ovr,l1,81,liblinear,True,4
5,5,TrialState.COMPLETE,0.8146346989072072,2020-01-02 00:23:37.256878,2020-01-02 00:23:37.543091,0.014573338328210363,balanced,,,,ovr,l1,31,saga,False,5
6,6,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:37.544187,2020-01-02 00:23:37.755365,2.772576225675558e-05,,,0.0663040035515734,,ovr,l1,56,liblinear,False,6
7,7,TrialState.COMPLETE,0.7702716463376506,2020-01-02 00:23:37.756516,2020-01-02 00:23:38.029401,0.012539651786706978,balanced,,0.1324584611848949,,ovr,l1,100,liblinear,False,7
8,8,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:38.030554,2020-01-02 00:23:38.293674,,,,,,ovr,none,74,,False,8
9,9,TrialState.COMPLETE,0.7589280498942184,2020-01-02 00:23:38.294667,2020-01-02 00:23:38.536735,0.006837920046013076,balanced,,0.22596547205645534,,ovr,l1,17,liblinear,False,9
10,10,TrialState.COMPLETE,0.388299506680376,2020-01-02 00:23:38.538043,2020-01-02 00:23:38.802428,5.8627689584655225e-08,,True,0.5387101941409497,,auto,l2,42,liblinear,True,10
11,11,TrialState.COMPLETE,0.8179893901916326,2020-01-02 00:23:38.803547,2020-01-02 00:23:39.121348,0.20602668349793066,,,,0.16644725572724317,auto,elasticnet,1,,True,11
12,12,TrialState.COMPLETE,0.8151511306549301,2020-01-02 00:23:39.122457,2020-01-02 00:23:39.399254,5.755035325253595,,,,0.14070340392166847,auto,elasticnet,1,,True,12
13,13,TrialState.COMPLETE,0.8147457578306581,2020-01-02 00:23:39.400378,2020-01-02 00:23:39.674814,9.488674092716412,,,,0.3742253937628025,auto,elasticnet,54,,True,13
14,14,TrialState.COMPLETE,0.8163082159088215,2020-01-02 00:23:39.675725,2020-01-02 00:23:40.013673,0.4697664920853904,,,,0.5500513653316961,auto,elasticnet,32,,True,14
15,15,TrialState.COMPLETE,0.7114085646329888,2020-01-02 00:23:40.014695,2020-01-02 00:23:40.324016,6.520692063478428e-05,,True,0.7750172534647796,,auto,l2,27,liblinear,True,15
16,16,TrialState.COMPLETE,0.7526860379482634,2020-01-02 00:23:40.325195,2020-01-02 00:23:40.812892,0.000750396705554134,,,,0.29942671975591695,auto,elasticnet,64,,True,16
17,17,TrialState.COMPLETE,0.8171824767947259,2020-01-02 00:23:40.814209,2020-01-02 00:23:41.269866,0.3997011980188522,,,,0.261383767390739,auto,elasticnet,92,,True,17
18,18,TrialState.COMPLETE,0.8150204269555485,2020-01-02 00:23:41.270915,2020-01-02 00:23:41.620499,6.153642032921179,,,,,auto,l2,43,saga,True,18
19,19,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:41.622971,2020-01-02 00:23:41.959787,,,,,,ovr,none,21,,True,19
20,20,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:41.960839,2020-01-02 00:23:42.255394,0.0007877894143333025,,,,0.7055442838817255,auto,elasticnet,3,,True,20
21,21,TrialState.COMPLETE,0.8164414706901411,2020-01-02 00:23:42.257859,2020-01-02 00:23:42.607802,0.20209397013265543,,,,0.907712155203558,auto,elasticnet,95,,True,21
22,22,TrialState.COMPLETE,0.8150070813120172,2020-01-02 00:23:42.608943,2020-01-02 00:23:42.907226,2.072160781218441,,,,0.36445124716177557,auto,elasticnet,91,,True,22
23,23,TrialState.COMPLETE,0.823442996851697,2020-01-02 00:23:42.908648,2020-01-02 00:23:43.196729,0.046900359903741536,,,,0.3052473317827027,auto,elasticnet,66,,True,23
24,24,TrialState.COMPLETE,0.8213721257503737,2020-01-02 00:23:43.197818,2020-01-02 00:23:43.498643,0.09769599660888308,,,,0.0402431214311228,auto,elasticnet,68,,True,24
25,25,TrialState.COMPLETE,0.83291981600159,2020-01-02 00:23:43.499724,2020-01-02 00:23:43.791886,0.001505234888273428,,,,0.027440417621916346,auto,elasticnet,66,,True,25
26,26,TrialState.COMPLETE,0.8345008405049977,2020-01-02 00:23:43.793297,2020-01-02 00:23:44.117610,0.0021717168516667013,,,,0.031790814957464664,auto,elasticnet,65,,True,26
27,27,TrialState.COMPLETE,0.8246018508537023,2020-01-02 00:23:44.118648,2020-01-02 00:23:44.441869,7.598711174969436e-06,balanced,,,0.0021282559550473007,auto,elasticnet,63,,True,27
28,28,TrialState.COMPLETE,0.0,2020-01-02 00:23:44.443046,2020-01-02 00:23:44.698398,2.87446854909209e-06,balanced,,,0.011815692691024662,auto,elasticnet,60,,True,28
29,29,TrialState.COMPLETE,0.0,2020-01-02 00:23:44.699136,2020-01-02 00:23:44.955578,7.386096510404055e-05,balanced,,,0.12162714793215308,auto,elasticnet,83,,True,29
30,30,TrialState.COMPLETE,0.43581589958158995,2020-01-02 00:23:44.957163,2020-01-02 00:23:45.216131,4.39241204021662e-06,balanced,,,0.5216633899860588,auto,elasticnet,50,,True,30
31,31,TrialState.COMPLETE,0.8192394582824978,2020-01-02 00:23:45.216930,2020-01-02 00:23:45.517284,0.0028954026672984956,balanced,,,0.9891878286357944,auto,elasticnet,74,,True,31
32,32,TrialState.COMPLETE,0.43581589958158995,2020-01-02 00:23:45.518666,2020-01-02 00:23:45.793930,0.00021418098440896348,balanced,,,0.6514956068057116,auto,elasticnet,67,,True,32
33,33,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:45.794960,2020-01-02 00:23:46.069472,1.2253597130590604e-05,,,,0.08210466929555066,auto,elasticnet,50,,True,33
34,34,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:46.070427,2020-01-02 00:23:46.351556,,,,,,auto,none,72,,True,34
35,35,TrialState.COMPLETE,0.8244968818700847,2020-01-02 00:23:46.352675,2020-01-02 00:23:46.674190,0.0015743597021886761,balanced,,,0.21845068317174587,auto,elasticnet,62,,True,35
36,36,TrialState.COMPLETE,0.8242852307589473,2020-01-02 00:23:46.675184,2020-01-02 00:23:47.080963,0.0014885135022734445,balanced,,,0.024687108704438254,auto,elasticnet,63,,True,36
37,37,TrialState.COMPLETE,0.8241157352610273,2020-01-02 00:23:47.082179,2020-01-02 00:23:47.439432,0.0002632238334489527,balanced,,,0.0006658180107521096,auto,elasticnet,82,,True,37
38,38,TrialState.COMPLETE,0.8244324456376543,2020-01-02 00:23:47.440528,2020-01-02 00:23:47.798400,0.004037618923278282,balanced,,,,auto,l2,59,saga,True,38
39,39,TrialState.COMPLETE,0.0,2020-01-02 00:23:47.799696,2020-01-02 00:23:48.117572,3.422365952808818e-07,balanced,,,0.18826484882673833,auto,elasticnet,78,,True,39
40,40,TrialState.COMPLETE,0.8080578744120981,2020-01-02 00:23:48.118826,2020-01-02 00:23:48.440801,,balanced,,,,auto,none,54,,False,40
41,41,TrialState.COMPLETE,0.8240829092327674,2020-01-02 00:23:48.441881,2020-01-02 00:23:48.769383,0.00012794557667952466,balanced,,,,auto,l2,58,saga,True,41
42,42,TrialState.COMPLETE,0.8240714945820313,2020-01-02 00:23:48.770601,2020-01-02 00:23:49.094796,0.0006608450324883254,balanced,,,,auto,l2,47,saga,True,42
43,43,TrialState.COMPLETE,0.8238786414536889,2020-01-02 00:23:49.095888,2020-01-02 00:23:49.395817,2.3877748855307627e-05,balanced,,,,auto,l2,60,saga,True,43
44,44,TrialState.COMPLETE,0.8203220470901327,2020-01-02 00:23:49.396893,2020-01-02 00:23:49.704500,0.029991561617367445,balanced,,,,auto,l2,69,saga,True,44
