id,target
10356,1
7795,0
1738,1
2066,0
10617,1
6327,1
4991,0
4566,0
43,0
10033,0
4319,0
7190,0
5871,1
5241,0
9793,0
2580,1
3577,0
9440,1
9927,0
2092,1
5090,1
8379,0
5967,0
900,1
3354,0
3046,0
7776,1
1076,0
9840,0
7726,0
1205,0
7636,0
5003,1
7572,1
9035,0
3991,1
2678,0
3794,0
7259,1
7394,0
9306,0
2384,0
908,0
3755,0
9285,0
1000,0
6740,0
10188,0
9549,0
4559,0
3706,0
9274,0
10494,1
2434,0
4862,0
2662,0
9671,0
7757,1
8909,0
6157,0
3204,0
4767,1
9398,1
4718,0
7660,0
4728,1
9843,1
6479,1
217,1
10266,0
1400,0
2926,0
3507,1
108,1
1373,0
5054,0
4621,0
7082,1
9969,0
9839,1
3261,0
6122,0
10135,0
10347,1
3934,0
2615,0
8845,0
9957,0
27,0
10875,1
3232,0
9258,0
233,0
473,1
7387,0
8930,1
989,0
10453,0
3148,1
3881,0
7846,0
694,0
9536,1
3310,0
1056,0
9196,0
9807,0
8093,0
10654,0
7646,0
8054,1
1982,1
1261,0
4818,0
10635,0
4453,0
9802,0
46,1
2295,0
8601,0
9914,1
5358,0
2551,0
3392,1
10046,0
4059,0
6871,1
3103,1
6052,0
824,0
9015,0
2107,0
6107,0
6873,1
292,1
1442,0
8179,1
6237,1
3327,0
4654,1
10604,1
10442,0
750,0
4536,0
5725,1
5500,0
1620,0
1928,1
4865,0
3344,0
10370,1
854,1
1936,0
1793,1
7993,1
2041,1
708,1
525,1
9962,0
6563,0
5838,1
1751,0
4942,0
1651,1
5143,0
2901,0
1012,0
6633,0
3076,0
8051,1
8413,1
4743,0
10757,1
311,0
4560,0
7327,0
5767,1
7919,1
5340,1
7110,0
8997,0
1788,1
6964,0
9153,1
4380,1
7423,0
2652,0
7866,0
5436,0
6228,0
5728,1
10262,0
7067,0
7666,0
8984,0
703,1
7370,0
7263,1
7225,1
7834,0
10469,1
9689,1
6831,0
464,0
5390,1
8672,1
1180,0
7101,0
2518,1
5275,0
844,0
1186,0
7468,0
4907,0
2044,1
3371,1
2791,0
2140,0
10363,1
5568,0
904,1
7262,1
7592,1
4074,1
1435,0
2894,1
9178,1
1200,0
2305,0
5523,0
6750,1
6172,1
9768,0
9908,0
7805,0
8139,1
765,1
2646,0
8954,0
7127,0
2892,0
3865,0
7305,0
10086,1
7055,0
6252,1
4190,0
6763,1
2481,1
3294,0
6471,1
3098,1
1907,1
582,1
9167,0
9168,1
9349,1
4090,0
6401,0
8716,0
8847,0
9789,0
7762,1
5314,1
9358,0
6011,0
5810,0
768,1
7417,0
1598,1
10476,0
10792,0
6826,0
5951,0
10474,1
3918,0
4404,0
4249,0
6044,0
8115,1
2355,0
2834,1
5667,1
8014,1
8666,1
8308,0
10756,1
8048,0
1742,0
4570,1
9558,0
4185,0
573,1
2360,1
8485,0
10391,1
1046,0
9809,0
2509,1
8273,0
7961,1
9713,0
3988,1
2090,1
3121,1
5258,0
5433,1
7460,0
1359,0
4340,1
7364,0
4987,0
491,0
10728,0
6982,1
10539,0
9186,1
4371,0
10166,1
9814,0
10043,0
8336,0
1843,0
6840,0
548,1
7925,1
9506,0
8167,1
10781,1
2704,0
3902,0
6968,0
6250,0
7237,0
8798,0
7836,0
385,1
816,0
10614,1
5770,1
855,1
7825,0
10501,1
9899,0
3230,0
4217,1
5464,0
4643,0
4194,0
1682,1
10238,1
5513,0
3407,0
7034,1
9323,0
6618,0
4134,1
4497,0
1711,1
399,0
2011,1
405,0
6131,0
4701,1
3673,0
7314,1
3972,1
8537,0
2710,0
2814,1
8895,0
8809,0
5566,0
4756,1
2994,0
10440,0
605,1
3160,0
2264,0
2775,0
7064,0
10160,1
5031,1
3883,0
5395,1
3551,1
10319,0
3238,0
6144,1
7599,0
6894,0
1616,1
5809,0
395,1
5415,1
3976,1
4125,1
6364,1
5571,1
7436,1
1342,0
7321,1
1387,0
9903,0
723,0
5679,0
2717,0
6324,0
6503,0
4863,0
70,1
10734,0
7489,1
1011,0
8868,0
2601,0
9352,0
1584,0
5543,0
5788,1
8929,1
1859,0
305,1
785,0
4886,0
9004,0
920,1
4636,0
1339,0
9189,1
2424,0
2132,0
2407,0
2461,1
4648,0
3732,0
4339,1
8132,1
3087,1
6827,0
6079,0
10248,1
678,0
8678,1
5374,1
7706,0
8481,0
4851,1
434,0
2293,0
181,0
7546,1
8222,0
6991,1
425,0
3496,1
7049,0
202,0
6502,0
4431,0
9964,0
343,0
7435,0
4626,0
6562,0
1416,0
319,0
1064,0
5774,0
4418,0
1028,1
377,1
4311,1
10324,1
6190,0
3846,0
1258,0
4925,0
9282,0
666,1
6692,0
1364,0
1571,1
382,1
3515,1
9694,0
8117,1
9479,1
5084,0
7222,1
4073,1
9150,1
1685,1
6640,1
3228,0
2080,0
7734,0
5277,0
3716,0
7499,1
4933,0
7820,1
1461,0
10716,0
2722,0
9824,0
6411,0
2323,1
5640,1
8077,1
547,1
2713,0
4535,0
4148,0
9413,1
6902,1
663,0
8915,0
9735,0
7398,0
5708,1
7240,0
5551,0
7946,1
9959,0
4495,0
4036,0
4462,0
2270,0
3008,0
6732,0
8194,0
7133,1
2600,1
2574,1
8981,1
2426,0
9929,0
2431,0
4815,0
9631,1
3579,0
1797,1
3096,0
9366,1
10646,0
9748,1
1659,1
69,0
4956,0
3779,0
9419,1
10857,0
2234,1
7729,0
5402,1
2079,1
2450,0
3454,0
323,0
177,0
6419,0
4144,0
362,0
9904,0
6526,0
6989,0
3586,0
7382,0
2968,0
2232,1
6359,1
8265,0
4099,1
1552,1
4196,0
2474,0
6853,1
8153,1
3209,1
813,0
8282,0
9535,0
889,1
9407,1
9928,0
529,0
4572,0
9685,0
3891,1
7216,0
9140,1
4434,0
6704,0
9353,0
1462,0
4316,0
9871,0
7014,0
10078,1
1642,1
388,1
9777,0
3348,0
6770,0
366,1
8127,1
2996,1
4615,1
2721,0
1034,0
7282,1
632,1
6285,0
10674,0
5926,0
142,1
1696,1
1781,1
3561,0
3941,0
2447,0
9245,0
1934,0
2326,0
9844,0
1314,0
9428,0
4594,0
8568,0
7072,0
1586,1
7003,0
6238,1
1355,1
10300,0
6761,0
1286,0
5830,1
6068,1
9133,1
2343,0
1427,0
7042,0
2223,1
8897,0
5796,0
647,1
8354,0
2180,1
9514,1
7740,0
5011,0
8488,0
4555,0
9117,1
668,0
1437,0
7273,1
7700,0
4999,0
6507,1
1565,0
2243,1
367,1
6488,1
8534,0
8682,1
9127,1
3305,1
9968,0
914,1
2135,0
3151,1
5851,1
441,0
10281,0
9010,0
9679,0
10577,0
5786,1
7562,1
9847,0
2674,0
9409,1
8421,0
1476,0
2816,1
5051,1
1121,0
3007,0
3250,0
2156,0
1148,0
10065,1
6077,0
6210,0
2940,0
5261,0
2735,0
9913,0
5701,0
2018,1
5723,1
2848,0
2964,0
1247,0
9256,0
9922,1
2779,0
1089,0
1140,0
2522,1
1310,0
9641,0
1974,1
5490,0
3268,0
6205,0
7139,0
